"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 15 14:03:32 ICT 2022","Mon Aug 15 14:03:32 ICT 2022","217","tests.authentication","test_login","LoginTest","","","Verify test_login_successful",""
"passed","Mon Aug 15 14:03:29 ICT 2022","Mon Aug 15 14:03:32 ICT 2022","3224","tests.authentication","test_login","LoginTest","","","Verify test_login_invalid_password",""
