"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 28 18:10:22 ICT 2022","Sun Aug 28 18:10:24 ICT 2022","2063","tests.authentication","test_login","LoginTest","","","Verify test_login_successful",""
"broken","Sun Aug 28 18:10:24 ICT 2022","Sun Aug 28 18:10:24 ICT 2022","0","tests.order","test_order","OrderTest","","","Verify order successfull",""
