"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 15 14:07:57 ICT 2022","Mon Aug 15 14:07:58 ICT 2022","640","tests.authentication","test_login","LoginTest","","","Verify test_login_successful",""
"passed","Mon Aug 15 14:07:53 ICT 2022","Mon Aug 15 14:07:57 ICT 2022","3763","tests.authentication","test_login","LoginTest","","","Verify test_login_invalid_password",""
